#Gene_Symbol	BioCycPath_ID	Metabolism_ID
ACSL5	PWY-5143	fatty acid activation
ACSL4	PWY-5143	fatty acid activation
ACSBG2	PWY-5143	fatty acid activation
PAPSS1	PWY-5340	sulfate activation for sulfonation
PAPSS2	PWY-5340	sulfate activation for sulfonation
ACP2	PWY-6355	phosphate acquisition II
ACP6	PWY-6355	phosphate acquisition II
ACPP	PWY-6355	phosphate acquisition II
ACP5	PWY-6355	phosphate acquisition II
ACP1	PWY-6355	phosphate acquisition II
ACPL2	PWY-6355	phosphate acquisition II
PRDX6	PWY-6355	phosphate acquisition II
MPO	PWY-6355	phosphate acquisition II
EPX	PWY-6355	phosphate acquisition II
CAT	PWY-6355	phosphate acquisition II
PRDX1	PWY-6355	phosphate acquisition II
KIF9	PWY-6355	phosphate acquisition II
ABCA7	PWY-6355	phosphate acquisition II
LPO	PWY-6355	phosphate acquisition II
TPO	PWY-6355	phosphate acquisition II
PXDN	PWY-6355	phosphate acquisition II
HADHA	PWY-2361	3-oxoadipate degradation
HADHB	PWY-2361	3-oxoadipate degradation
ACMSD	PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA
OGDH	PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA
PDHA1	PYRUVDEHYD-PWY	acetyl-CoA biosynthesis (from pyruvate)
PDHB	PYRUVDEHYD-PWY	acetyl-CoA biosynthesis (from pyruvate)
PDHA2	PYRUVDEHYD-PWY	acetyl-CoA biosynthesis (from pyruvate)
DLAT	PYRUVDEHYD-PWY	acetyl-CoA biosynthesis (from pyruvate)
DLD	PYRUVDEHYD-PWY	acetyl-CoA biosynthesis (from pyruvate)
ACSS2	PWY0-1313	acetate conversion to acetyl-CoA
ACSS1	PWY0-1313	acetate conversion to acetyl-CoA
ACSS3	PWY0-1313	acetate conversion to acetyl-CoA
ACAT1	PWY-5177	glutaryl-CoA degradation
ACAT2	PWY-5177	glutaryl-CoA degradation
HSD17B10	PWY-5177	glutaryl-CoA degradation
HSD17B4	PWY-5177	glutaryl-CoA degradation
EHHADH	PWY-5177	glutaryl-CoA degradation
HADH	PWY-5177	glutaryl-CoA degradation
ECHS1	PWY-5177	glutaryl-CoA degradation
ACSL1	PWY-5535	acetate formation from acetyl-CoA II
MCEE	PROPIONMET-PWY	methylmalonyl pathway
MUT	PROPIONMET-PWY	methylmalonyl pathway
PCCB	PROPIONMET-PWY	methylmalonyl pathway
PCCA	PROPIONMET-PWY	methylmalonyl pathway
GLO1	PWY-5386	methylglyoxal degradation I
HAGH	PWY-5386	methylglyoxal degradation I
LDHD	PWY-5386	methylglyoxal degradation I
LDHD	PWY-901	methylglyoxal degradation II
LDHD	MGLDLCTANA-PWY	methylglyoxal degradation VI
BCKDHB	PWY-5046	branched-chain &alpha;-keto acid dehydrogenase complex
BCKDHA	PWY-5046	branched-chain &alpha;-keto acid dehydrogenase complex
DBT	PWY-5046	branched-chain &alpha;-keto acid dehydrogenase complex
DLD	PWY-5046	branched-chain &alpha;-keto acid dehydrogenase complex
OGDH	PWY-5084	2-ketoglutarate dehydrogenase complex
DHTKD1	PWY-5084	2-ketoglutarate dehydrogenase complex
DLST	PWY-5084	2-ketoglutarate dehydrogenase complex
DLD	PWY-5084	2-ketoglutarate dehydrogenase complex
BCAT1	VALDEG-PWY	valine degradation I
BCAT2	VALDEG-PWY	valine degradation I
ACAD8	VALDEG-PWY	valine degradation I
ECHS1	VALDEG-PWY	valine degradation I
EHHADH	VALDEG-PWY	valine degradation I
HIBCH	VALDEG-PWY	valine degradation I
HIBADH	VALDEG-PWY	valine degradation I
ABAT	VALDEG-PWY	valine degradation I
ALDH6A1	VALDEG-PWY	valine degradation I
BCAT1	PWY3DJ-86	valine degradation
BCAT2	PWY3DJ-86	valine degradation
BCKDHB	PWY3DJ-86	valine degradation
BCKDHA	PWY3DJ-86	valine degradation
DBT	PWY3DJ-86	valine degradation
ACAD8	PWY3DJ-86	valine degradation
ECHS1	PWY3DJ-86	valine degradation
EHHADH	PWY3DJ-86	valine degradation
HIBCH	PWY3DJ-86	valine degradation
HIBADH	PWY3DJ-86	valine degradation
ALDH6A1	PWY3DJ-86	valine degradation
PCCB	PWY3DJ-86	valine degradation
PCCA	PWY3DJ-86	valine degradation
MCEE	PWY3DJ-86	valine degradation
MUT	PWY3DJ-86	valine degradation
GLDC	GLYCLEAV-PWY	glycine cleavage complex
AMT	GLYCLEAV-PWY	glycine cleavage complex
DLD	GLYCLEAV-PWY	glycine cleavage complex
GATM	GLYCGREAT-PWY	glycine degradation (creatine biosynthesis)
GAMT	GLYCGREAT-PWY	glycine degradation (creatine biosynthesis)
OTC	CITRULLINE-DEG-PWY	citrulline degradation
HAL	PWY-5030	histidine degradation III
UROC1	PWY-5030	histidine degradation III
AMDHD1	PWY-5030	histidine degradation III
FTCD	PWY-5030	histidine degradation III
MTHFD2	PWY-5030	histidine degradation III
MTHFD1	PWY-5030	histidine degradation III
CBS	HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation
CTH	HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation
GPT2	ALANINE-DEG3-PWY	alanine degradation III
GPT	ALANINE-DEG3-PWY	alanine degradation III
ALDH4A1	PROLINE-DEG2-PWY	proline degradation III
PRODH2	PROLINE-DEG2-PWY	proline degradation III
PRODH	PROLINE-DEG2-PWY	proline degradation III
PRODH2	PWY-4561	proline degradation II
PRODH	PWY-4561	proline degradation II
GOT1	HYDROXYPRODEG-PWY	4-hydroxyproline degradation I
GOT1L1	HYDROXYPRODEG-PWY	4-hydroxyproline degradation I
PRODH2	HYDROXYPRODEG-PWY	4-hydroxyproline degradation I
PRODH	HYDROXYPRODEG-PWY	4-hydroxyproline degradation I
MAT2A	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
MAT1A	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
MAT2B	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
AHCY	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
AHCYL1	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
AHCYL2	METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)
AHCYL2	PWY-5328	superpathway of methionine degradation
AHCYL1	PWY-5328	superpathway of methionine degradation
AHCY	PWY-5328	superpathway of methionine degradation
MAT2B	PWY-5328	superpathway of methionine degradation
MAT1A	PWY-5328	superpathway of methionine degradation
MAT2A	PWY-5328	superpathway of methionine degradation
CTH	PWY-5328	superpathway of methionine degradation
CBS	PWY-5328	superpathway of methionine degradation
PCCB	PWY-5328	superpathway of methionine degradation
PCCA	PWY-5328	superpathway of methionine degradation
MUT	PWY-5328	superpathway of methionine degradation
MCEE	PWY-5328	superpathway of methionine degradation
GOT1L1	PWY-5328	superpathway of methionine degradation
GOT1	PWY-5328	superpathway of methionine degradation
CDO1	PWY-5328	superpathway of methionine degradation
SUOX	PWY-5328	superpathway of methionine degradation
BHMT2	PWY-5328	superpathway of methionine degradation
BHMT	PWY-5328	superpathway of methionine degradation
MTR	PWY-5328	superpathway of methionine degradation
TDH	THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)
AOC3	THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)
MAOB	THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)
ASPG	ASPARAGINE-DEG1-PWY	asparagine degradation I
ASRGL1	ASPARAGINE-DEG1-PWY	asparagine degradation I
SDSL	SERDEG-PWY	L-serine degradation
SDS	SERDEG-PWY	L-serine degradation
SHMT2	PWY3DJ-35778	Serine degradation II
SHMT1	PWY3DJ-35778	Serine degradation II
GLDC	PWY3DJ-35778	Serine degradation II
AMT	PWY3DJ-35778	Serine degradation II
DLD	PWY3DJ-35778	Serine degradation II
TAT	TYRFUMCAT-PWY	tyrosine degradation I
HPD	TYRFUMCAT-PWY	tyrosine degradation I
HGD	TYRFUMCAT-PWY	tyrosine degradation I
GSTZ1	TYRFUMCAT-PWY	tyrosine degradation I
FAH	TYRFUMCAT-PWY	tyrosine degradation I
FAHD1	TYRFUMCAT-PWY	tyrosine degradation I
FAHD2A	TYRFUMCAT-PWY	tyrosine degradation I
ABAT	BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I
PYCR2	ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
PYCR1	ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
PYCRL	ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
OAT	ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
ARG1	ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
ARG2	ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
ARG1	ARGASEDEG-PWY	arginine degradation I (arginase pathway)
ARG2	ARGASEDEG-PWY	arginine degradation I (arginase pathway)
ALDH4A1	ARGASEDEG-PWY	arginine degradation I (arginase pathway)
OAT	ARGASEDEG-PWY	arginine degradation I (arginase pathway)
NOS3	PWY-4983	citrulline-nitric oxide cycle
NOS1	PWY-4983	citrulline-nitric oxide cycle
NOS2	PWY-4983	citrulline-nitric oxide cycle
NOS1AP	PWY-4983	citrulline-nitric oxide cycle
NOSIP	PWY-4983	citrulline-nitric oxide cycle
ASS1	PWY-4983	citrulline-nitric oxide cycle
ASL	PWY-4983	citrulline-nitric oxide cycle
AGMAT	PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)
GOT2	MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II
MDH2	MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II
BCAT1	PWY3DJ-0	isoleucine degradation
BCAT2	PWY3DJ-0	isoleucine degradation
BCKDHB	PWY3DJ-0	isoleucine degradation
BCKDHA	PWY3DJ-0	isoleucine degradation
DBT	PWY3DJ-0	isoleucine degradation
ACADSB	PWY3DJ-0	isoleucine degradation
ECHS1	PWY3DJ-0	isoleucine degradation
EHHADH	PWY3DJ-0	isoleucine degradation
HSD17B10	PWY3DJ-0	isoleucine degradation
ACAT1	PWY3DJ-0	isoleucine degradation
ACAT2	PWY3DJ-0	isoleucine degradation
PCCB	PWY3DJ-0	isoleucine degradation
PCCA	PWY3DJ-0	isoleucine degradation
MCEE	PWY3DJ-0	isoleucine degradation
MUT	PWY3DJ-0	isoleucine degradation
MPST	PWY-5329	L-cysteine degradation III
CDO1	CYSTEINE-DEG-PWY	L-cysteine degradation I
GOT1	CYSTEINE-DEG-PWY	L-cysteine degradation I
GOT1L1	CYSTEINE-DEG-PWY	L-cysteine degradation I
CDO1	CYSDEGRV-PWY	L-cysteine degradation VI
CSAD	CYSDEGRV-PWY	L-cysteine degradation VI
TDO2	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
IDO1	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
AFMID	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
KMO	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
KYNU	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
HAAO	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
OGDH	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
ACMSD	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
HAAO	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
KYNU	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
KMO	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
AFMID	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
IDO1	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
TDO2	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
ECHS1	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
HADH	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
EHHADH	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
HSD17B4	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
HSD17B10	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
ACAT2	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
ACAT1	TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
KYNU	TRPCAT-PWY	tryptophan degradation I (via anthranilate)
TDO2	TRPCAT-PWY	tryptophan degradation I (via anthranilate)
IDO1	TRPCAT-PWY	tryptophan degradation I (via anthranilate)
AFMID	TRPCAT-PWY	tryptophan degradation I (via anthranilate)
BCAT1	LEU-DEG2-PWY	leucine degradation I
BCAT2	LEU-DEG2-PWY	leucine degradation I
MCCC1	LEU-DEG2-PWY	leucine degradation I
MCCC2	LEU-DEG2-PWY	leucine degradation I
AUH	LEU-DEG2-PWY	leucine degradation I
HMGCL	LEU-DEG2-PWY	leucine degradation I
HMGCLL1	LEU-DEG2-PWY	leucine degradation I
IVD	LEU-DEG2-PWY	leucine degradation I
BCAT1	PWY3DJ-6	Leucine Catabolism
BCAT2	PWY3DJ-6	Leucine Catabolism
BCKDHB	PWY3DJ-6	Leucine Catabolism
BCKDHA	PWY3DJ-6	Leucine Catabolism
DBT	PWY3DJ-6	Leucine Catabolism
DLD	PWY3DJ-6	Leucine Catabolism
IVD	PWY3DJ-6	Leucine Catabolism
MCCC1	PWY3DJ-6	Leucine Catabolism
MCCC2	PWY3DJ-6	Leucine Catabolism
AUH	PWY3DJ-6	Leucine Catabolism
HMGCL	PWY3DJ-6	Leucine Catabolism
HMGCLL1	PWY3DJ-6	Leucine Catabolism
GAD2	PWY-4321	glutamate degradation IV
GAD1	PWY-4321	glutamate degradation IV
ALDH5A1	PWY-4321	glutamate degradation IV
ABAT	PWY-4321	glutamate degradation IV
ABAT	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
GAD2	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
GAD1	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
ALDH5A1	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
GLUD1	PWY-5766	glutamate degradation X
GLUD2	PWY-5766	glutamate degradation X
GOT2	GLUTOXA-PWY	glutamate degradation VII
SUCLG1	GLUTOXA-PWY	glutamate degradation VII
SUCLA2	GLUTOXA-PWY	glutamate degradation VII
AASS	LYSINE-DEG1-PWY	lysine degradation II
SCCPDH	LYSINE-DEG1-PWY	lysine degradation II
AADAT	LYSINE-DEG1-PWY	lysine degradation II
OGDH	LYSINE-DEG1-PWY	lysine degradation II
GLS2	GLUTFUMARATE-PWY	glutamine degradation II
GLS	GLUTFUMARATE-PWY	glutamine degradation II
GOT2	GLUTFUMARATE-PWY	glutamine degradation II
GLUD1	GLUTAMINE-DEG1-PWY	glutamine degradation I
GLUD2	GLUTAMINE-DEG1-PWY	glutamine degradation I
GLS2	GLUTAMINE-DEG1-PWY	glutamine degradation I
GLS	GLUTAMINE-DEG1-PWY	glutamine degradation I
TAT	PWY-5079	phenylalanine degradation III
ADH7	PWY-5079	phenylalanine degradation III
ADH5	PWY-5079	phenylalanine degradation III
ADH4	PWY-5079	phenylalanine degradation III
PAH	PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)
PAICS	PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)
PCBD1	PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)
PCBD2	PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)
NPL	PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation
GNE	PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation
MAOB	PWY6666-2	dopamine degradation
MAOA	PWY6666-2	dopamine degradation
ALDH2	PWY6666-2	dopamine degradation
COMTD1	PWY6666-2	dopamine degradation
SULT1A1	PWY6666-2	dopamine degradation
AMDHD2	GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
GNPDA1	GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
GNPDA2	GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
GNE	GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
NPL	GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
BHMT	PWY-3661	glycine betaine degradation
BHMT2	PWY-3661	glycine betaine degradation
DMGDH	PWY-3661	glycine betaine degradation
PIPOX	PWY-3661	glycine betaine degradation
SHMT2	PWY-3661	glycine betaine degradation
SHMT1	PWY-3661	glycine betaine degradation
SDSL	PWY-3661	glycine betaine degradation
SDS	PWY-3661	glycine betaine degradation
HNMT	PWY-6181	histamine degradation
ABP1	PWY-6181	histamine degradation
ABAT	PWY-6473	4-aminobutyrate degradation IV
ALDH5A1	PWY-6473	4-aminobutyrate degradation IV
ABAT	PWY-6535	4-aminobutyrate degradation I
ALDH5A1	PWY-6535	4-aminobutyrate degradation I
NAGK	PWY-6517	<i>N</i>-acetylglucosamine degradation II
AMDHD2	PWY-6517	<i>N</i>-acetylglucosamine degradation II
GNPDA1	PWY-6517	<i>N</i>-acetylglucosamine degradation II
GNPDA2	PWY-6517	<i>N</i>-acetylglucosamine degradation II
GNPDA2	GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I
GNPDA1	GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I
AMDHD2	GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I
MAOB	PWY-0	putrescine degradation III
MAOA	PWY-0	putrescine degradation III
ALDH9A1	PWY-0	putrescine degradation III
ALDH2	PWY-0	putrescine degradation III
ALDH3A2	PWY-0	putrescine degradation III
ALDH7A1	PWY-0	putrescine degradation III
ALLC	PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)
PSMD2	PWY3DJ-213	Targeted protein degradation
PSMD1	PWY3DJ-213	Targeted protein degradation
PSMD4	PWY3DJ-213	Targeted protein degradation
PSMC2	PWY3DJ-213	Targeted protein degradation
PSMC1	PWY3DJ-213	Targeted protein degradation
PSMC4	PWY3DJ-213	Targeted protein degradation
PSMC6	PWY3DJ-213	Targeted protein degradation
PSMC3	PWY3DJ-213	Targeted protein degradation
PSMC5	PWY3DJ-213	Targeted protein degradation
SHFM1	PWY3DJ-213	Targeted protein degradation
ADRM1	PWY3DJ-213	Targeted protein degradation
PSMD8	PWY3DJ-213	Targeted protein degradation
PSMD14	PWY3DJ-213	Targeted protein degradation
PSMD13	PWY3DJ-213	Targeted protein degradation
PSMD7	PWY3DJ-213	Targeted protein degradation
PSMD6	PWY3DJ-213	Targeted protein degradation
PSMD11	PWY3DJ-213	Targeted protein degradation
PSMD12	PWY3DJ-213	Targeted protein degradation
PSMD3	PWY3DJ-213	Targeted protein degradation
PSMA1	PWY3DJ-213	Targeted protein degradation
PSMA2	PWY3DJ-213	Targeted protein degradation
PSMA3	PWY3DJ-213	Targeted protein degradation
PSMA4	PWY3DJ-213	Targeted protein degradation
PSMA5	PWY3DJ-213	Targeted protein degradation
PSMA6	PWY3DJ-213	Targeted protein degradation
PSMB1	PWY3DJ-213	Targeted protein degradation
PSMB2	PWY3DJ-213	Targeted protein degradation
PSMB3	PWY3DJ-213	Targeted protein degradation
PSMB4	PWY3DJ-213	Targeted protein degradation
AMY2B	PWY-842	starch degradation
GBE1	PWY-842	starch degradation
PYGB	PWY-842	starch degradation
PYGL	PWY-842	starch degradation
PYGM	PWY-842	starch degradation
MGAM	PWY-842	starch degradation
LTK	PWY-842	starch degradation
HK2	PWY-842	starch degradation
HK1	PWY-842	starch degradation
HK3	PWY-842	starch degradation
HKDC1	PWY-842	starch degradation
PGM1	PWY-842	starch degradation
PGM2L1	PWY-842	starch degradation
PGM2	PWY-842	starch degradation
PGM3	PWY-842	starch degradation
PGM5	PWY-842	starch degradation
IDUA	PWY-6576	dermatan sulfate degradation (metazoa)
ARSJ	PWY-6573	chondroitin sulfate degradation (metazoa)
ARSB	PWY-6573	chondroitin sulfate degradation (metazoa)
GALNS	PWY-6573	chondroitin sulfate degradation (metazoa)
PYGB	PWY-5941	glycogen degradation II
PYGM	PWY-5941	glycogen degradation II
PYGL	PWY-5941	glycogen degradation II
PGM1	PWY-5941	glycogen degradation II
PGM2L1	PWY-5941	glycogen degradation II
PGM2	PWY-5941	glycogen degradation II
PGM3	PWY-5941	glycogen degradation II
PGM5	PWY-5941	glycogen degradation II
MGAM	PWY-5767	glycogen degradation III
PGM5	PWY-5767	glycogen degradation III
PGM3	PWY-5767	glycogen degradation III
PGM2	PWY-5767	glycogen degradation III
PGM2L1	PWY-5767	glycogen degradation III
PGM1	PWY-5767	glycogen degradation III
PYGL	PWY-5767	glycogen degradation III
PYGM	PWY-5767	glycogen degradation III
PYGB	PWY-5767	glycogen degradation III
ESD	PWY-1801	formaldehyde oxidation II (glutathione-dependent)
ADH5	PWY-1801	formaldehyde oxidation II (glutathione-dependent)
H6PD	RUMP-PWY	formaldehyde oxidation I
PGLS	RUMP-PWY	formaldehyde oxidation I
PGD	RUMP-PWY	formaldehyde oxidation I
GK2	PWY-4261	glycerol degradation IV
GK5	PWY-4261	glycerol degradation IV
GPD2	PWY-4261	glycerol degradation IV
GPD1	PWY-4261	glycerol degradation IV
ADH4	PWY66-21	ethanol degradation II (cytosol)
ADH5	PWY66-21	ethanol degradation II (cytosol)
ADH7	PWY66-21	ethanol degradation II (cytosol)
ALDH2	PWY66-21	ethanol degradation II (cytosol)
ALDH7A1	PWY66-21	ethanol degradation II (cytosol)
ALDH1B1	PWY66-21	ethanol degradation II (cytosol)
ACSS2	PWY66-21	ethanol degradation II (cytosol)
ACSS1	PWY66-21	ethanol degradation II (cytosol)
ACSS3	PWY66-21	ethanol degradation II (cytosol)
HMOX1	PWY-5874	heme degradation
HMOX2	PWY-5874	heme degradation
BLVRA	PWY-5874	heme degradation
BLVRB	PWY-5874	heme degradation
UPP2	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
UPP1	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
TKT	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
TKTL2	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
TKTL1	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
DERA	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
TYMP	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
CDA	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
AICDA	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
APOBEC1	DRIBOPMET-PWY	(deoxy)ribose phosphate degradation
CDA	PWY0-1298	pyrimidine deoxyribonucleosides degradation
